Mfg_Part_Num,Part_Desc,Part_Manuf,Unilog_Brand,E1_Brand,DIB_Brand
QO120,QO120 20A 1-Pole 120V Miniature Circuit Breaker 10kA,Schneider Electric,Square D,Square D,
LC1D25G7,LC1D25G7 TeSys D Contactor 3P 25A AC-3 120V Coil,Schneider Electric,Schneider Electric,Schneider Electric,
D1VW001CNJW,D1VW001CNJW Directional Control Valve 4-Way 24VDC 5000 PSI,Parker Hannifin Corp,Parker,Parker,
0121544,1/2 in-13 x 2 in Grade 8 Zinc Plated Hex Cap Screw 50pk,Fastenal Company,Fastenal,Fastenal,
1L003,1L003 Dayton 1/2 HP AC Motor 1725 RPM 115/230V 56 Frame,Grainger Global,Dayton,Dayton,
XRH01Z,XRH01Z Makita 18V LXT 1 in Rotary Hammer Tool Only,Makita USA Inc,Makita,Makita,
DG222NRB,DG222NRB Eaton 60A 240V 2-Pole General Duty Safety Switch NEMA 3R,Eaton Corporation,Eaton,Eaton,
ACS355-03U-08A8-2,ACS355 3HP 230V 3-Phase AC Variable Frequency Drive 8.8A,ABB Inc,ABB,ABB,
MM400,MM400 Klein Tools Digital Multimeter Auto-Ranging 600V,Klein Tools Inc,Klein Tools,Klein Tools,
8210,8210 3M N95 Particulate Respirator 20/Box,3M Company,3M,3M,
